episode,reward,epsilon,steps,car_wait_avg,ped_wait_avg,signal_switches
128,-794.5,0.5264,200,4.42,1.205,21
129,-1151.0,0.5238,200,5.615,1.12,21
130,-791.5,0.5212,200,4.575,0.73,22
131,-830.5,0.5186,200,4.465,0.745,21
132,-737.0,0.516,200,4.415,0.92,20
133,-1113.5,0.5134,200,5.625,0.905,20
134,-955.0,0.5108,200,4.68,0.7,22
135,-1404.5,0.5083,200,6.025,1.105,21
136,-1208.5,0.5058,200,5.68,0.7,21
137,-838.0,0.5032,200,4.515,0.935,21
138,-923.5,0.5007,200,5.145,1.085,21
139,-829.0,0.4982,200,4.28,0.865,21
140,-1525.0,0.4957,200,6.525,0.71,20
141,-1381.0,0.4932,200,5.825,1.11,20
142,-674.5,0.4908,200,4.15,0.89,21
143,-1659.0,0.4883,200,6.98,0.76,21
144,-752.5,0.4859,200,4.525,0.525,21
145,-915.0,0.4834,200,4.755,0.695,21
146,-671.5,0.481,200,3.91,1.105,21
147,-916.5,0.4786,200,4.68,1.19,21
148,-1013.5,0.4762,200,5.095,1.365,22
149,-1071.0,0.4738,200,5.295,1.175,21
150,-1354.5,0.4715,200,5.535,1.45,21
151,-1024.5,0.4691,200,5.04,1.24,19
152,-935.5,0.4668,200,5.335,1.125,20
153,-1032.0,0.4644,200,5.115,1.075,21
154,-589.0,0.4621,200,4.035,1.165,21
155,-1193.0,0.4598,200,5.965,0.95,20
156,-755.5,0.4575,200,4.075,1.395,20
157,-916.5,0.4552,200,5.24,0.91,21
158,-541.5,0.4529,200,3.51,1.12,20
159,-467.5,0.4507,200,3.26,0.555,22
160,-780.0,0.4484,200,4.37,0.97,21
161,-861.5,0.4462,200,5.17,0.905,20
162,-905.0,0.444,200,5.21,0.795,20
163,-1005.5,0.4417,200,4.84,0.985,19
164,-1100.5,0.4395,200,5.105,1.005,20
165,-855.5,0.4373,200,4.665,0.53,21
166,-865.0,0.4351,200,4.54,1.635,21
167,-755.5,0.433,200,4.43,0.865,20
168,-782.5,0.4308,200,4.41,0.615,20
169,-538.5,0.4286,200,4.045,0.935,20
170,-1274.0,0.4265,200,5.85,1.57,21
171,-873.0,0.4244,200,4.82,1.115,21
172,-1073.5,0.4223,200,5.46,1.05,21
173,-891.5,0.4201,200,4.59,0.77,21
174,-704.0,0.418,200,4.17,0.845,22
175,-512.5,0.4159,200,4.34,0.92,21
176,-742.0,0.4139,200,4.57,1.15,21
177,-751.0,0.4118,200,4.32,0.78,21
178,-732.5,0.4097,200,4.44,0.67,21
179,-774.5,0.4077,200,4.33,1.51,21
180,-1372.0,0.4057,200,6.225,0.81,21
181,-839.5,0.4036,200,5.07,1.125,19
182,-765.0,0.4016,200,4.595,0.67,22
183,-642.5,0.3996,200,3.695,1.58,19
184,-854.0,0.3976,200,4.945,0.575,21
185,-1005.0,0.3956,200,5.38,0.815,21
186,-1062.0,0.3936,200,4.905,1.125,20
187,-641.5,0.3917,200,4.28,0.73,22
188,-752.5,0.3897,200,4.385,1.225,22
189,-1179.5,0.3878,200,5.59,1.055,20
190,-956.0,0.3858,200,5.16,0.67,21
191,-510.5,0.3839,200,3.73,0.955,20
192,-840.5,0.382,200,4.755,0.945,20
193,-657.5,0.3801,200,4.02,1.505,21
194,-706.5,0.3782,200,4.455,0.77,21
195,-1205.5,0.3763,200,5.855,1.045,20
196,-687.5,0.3744,200,4.265,1.055,21
197,-1349.5,0.3725,200,6.375,0.95,20
198,-605.5,0.3707,200,4.165,0.955,21
199,-243.5,0.3688,200,3.53,0.75,22
200,-562.5,0.367,200,4.375,1.045,21
201,-632.0,0.3651,200,4.315,1.085,21
202,-1503.5,0.3633,200,6.75,0.88,20
203,-1364.0,0.3615,200,5.41,0.945,20
204,-739.5,0.3597,200,5.14,1.14,20
205,-874.5,0.3579,200,4.86,1.0,21
206,-619.0,0.3561,200,4.47,1.085,20
207,-502.5,0.3543,200,4.01,0.855,21
208,-971.5,0.3525,200,5.375,0.705,22
209,-804.0,0.3508,200,4.77,0.99,21
210,-721.0,0.349,200,4.79,0.925,22
211,-610.5,0.3473,200,3.855,1.335,19
212,-230.5,0.3455,200,3.56,0.82,21
213,-1056.0,0.3438,200,5.315,0.795,21
214,-1199.5,0.3421,200,5.31,0.96,20
215,-782.0,0.3404,200,4.415,1.005,21
216,-1517.0,0.3387,200,6.885,1.28,19
217,-509.5,0.337,200,4.115,0.535,20
218,-750.0,0.3353,200,4.715,0.775,20
219,-595.5,0.3336,200,4.365,1.14,21
220,-332.5,0.332,200,3.345,1.01,21
221,-568.0,0.3303,200,4.32,1.21,22
222,-770.5,0.3286,200,4.8,0.945,20
223,-657.0,0.327,200,4.605,0.49,20
224,-962.5,0.3254,200,5.24,0.775,21
225,-793.0,0.3237,200,5.03,0.8,20
226,-1130.5,0.3221,200,5.81,0.985,22
227,-983.5,0.3205,200,5.165,0.775,20
228,-523.5,0.3189,200,4.05,1.025,21
229,-536.5,0.3173,200,3.945,0.57,21
230,-886.5,0.3157,200,4.725,0.975,22
231,-502.0,0.3141,200,4.015,0.82,22
232,-1040.0,0.3126,200,5.11,1.47,20
233,-850.0,0.311,200,5.005,0.815,21
