episode,reward,steps,car_wait_avg,ped_wait_avg,signal_switches
1,-641.5,200,4.92,1.66,13
2,-5409.0,200,10.9175,3.16,13
3,-5492.5,200,13.1,3.6683333333333334,13
4,-6117.5,200,14.125,5.5375,13
5,-5964.5,200,14.687,6.632,13
6,-5965.0,200,15.159166666666666,7.029166666666667,13
7,-6273.5,200,15.54642857142857,7.570714285714286,13
8,-5874.0,200,15.738125,7.895,13
9,-6462.0,200,15.90611111111111,8.616666666666667,13
10,-5668.5,200,15.963,8.752,13
11,-6387.5,200,16.17,8.925,13
12,-6090.0,200,16.28125,9.06,13
13,-5572.0,200,16.316153846153846,8.978461538461538,13
14,-5827.5,200,16.3675,9.022142857142857,13
15,-5964.0,200,16.437333333333335,9.043666666666667,13
16,-6100.0,200,16.5196875,9.1103125,13
17,-5758.5,200,16.565,9.04029411764706,13
18,-5933.0,200,16.602777777777778,9.03111111111111,13
19,-5081.0,200,16.605,8.756052631578948,13
20,-5755.0,200,16.61825,8.80725,13
21,-5824.5,200,16.65047619047619,8.777142857142858,13
22,-5648.0,200,16.640227272727273,8.852954545454546,13
23,-5737.0,200,16.663478260869564,8.841739130434783,13
24,-6074.5,200,16.682291666666668,8.888125,13
25,-6137.5,200,16.75,8.8508,13
26,-6224.5,200,16.78923076923077,8.962692307692308,13
27,-5920.0,200,16.795925925925925,9.022592592592593,13
28,-5694.5,200,16.80875,9.000357142857142,13
29,-5468.5,200,16.798275862068966,8.911551724137931,13
30,-5505.5,200,16.768,8.9375,13
31,-6204.0,200,16.793064516129032,9.019193548387097,13
32,-5564.5,200,16.81359375,8.91078125,13
33,-5431.5,200,16.824545454545454,8.774545454545455,13
34,-6222.5,200,16.84441176470588,8.839411764705883,13
35,-5954.0,200,16.844142857142856,8.914,13
36,-5287.5,200,16.815277777777776,8.924166666666666,13
37,-6250.5,200,16.8277027027027,8.982972972972973,13
38,-6041.0,200,16.85236842105263,8.993815789473684,13
39,-6268.0,200,16.87794871794872,9.037435897435897,13
40,-6134.5,200,16.89025,9.10975,13
41,-6242.0,200,16.908536585365855,9.163658536585366,13
42,-5329.0,200,16.913214285714286,9.043333333333333,13
43,-5695.5,200,16.90418604651163,9.094186046511627,13
44,-5996.5,200,16.903863636363635,9.157727272727273,13
45,-5335.0,200,16.898333333333333,9.044666666666666,13
46,-5739.5,200,16.908152173913045,9.013586956521738,13
47,-5996.5,200,16.935,8.960531914893616,13
48,-6155.5,200,16.934791666666666,9.025416666666667,13
49,-5821.0,200,16.949591836734694,8.982857142857142,13
50,-6102.5,200,16.9598,9.0039,13
51,-5493.5,200,16.944803921568628,8.977941176470589,13
52,-6245.0,200,16.966153846153848,8.999134615384616,13
53,-6187.5,200,16.983679245283017,9.027358490566037,13
54,-5329.0,200,16.945,9.082314814814815,13
55,-6399.5,200,16.965272727272726,9.12790909090909,13
56,-6233.0,200,16.966964285714287,9.215892857142856,13
57,-6035.5,200,16.993859649122808,9.161228070175438,13
58,-6175.5,200,17.006293103448275,9.187931034482759,13
59,-6155.5,200,17.025,9.180169491525424,13
60,-5862.0,200,17.029583333333335,9.15425,13
61,-6078.5,200,17.042540983606557,9.16188524590164,13
62,-6024.5,200,17.053709677419356,9.138467741935484,13
63,-6329.5,200,17.067857142857143,9.172857142857143,13
64,-5857.0,200,17.075859375,9.148828125,13
65,-5568.0,200,17.077076923076923,9.108846153846153,13
66,-5816.5,200,17.087878787878786,9.0825,13
67,-5719.5,200,17.088805970149252,9.065373134328357,13
68,-5405.0,200,17.07683823529412,9.048455882352942,13
69,-6389.0,200,17.089855072463767,9.078550724637681,13
70,-5740.5,200,17.08292857142857,9.10057142857143,13
71,-5821.0,200,17.075985915492957,9.106408450704226,13
72,-5740.0,200,17.074513888888887,9.101944444444445,13
73,-6356.0,200,17.08958904109589,9.137123287671233,13
74,-6129.0,200,17.093513513513514,9.166216216216217,13
75,-5566.0,200,17.085466666666665,9.166,13
76,-5704.0,200,17.078684210526315,9.181447368421052,13
77,-6115.5,200,17.076493506493506,9.22935064935065,13
78,-5730.0,200,17.08326923076923,9.1975,13
79,-6500.0,200,17.09493670886076,9.228037974683545,13
80,-5995.0,200,17.094,9.2544375,13
81,-5978.0,200,17.101604938271606,9.246234567901235,13
82,-6141.0,200,17.103536585365855,9.25719512195122,13
83,-6105.5,200,17.10722891566265,9.282710843373494,13
84,-6258.0,200,17.114642857142858,9.303273809523809,13
85,-6241.0,200,17.124764705882352,9.313058823529412,13
86,-5654.5,200,17.12046511627907,9.313197674418605,13
87,-5671.5,200,17.109425287356324,9.300919540229884,13
88,-5959.5,200,17.116193181818183,9.294034090909092,13
89,-6229.5,200,17.123876404494382,9.312977528089888,13
90,-5657.5,200,17.12788888888889,9.280222222222223,13
91,-5758.5,200,17.129835164835164,9.266428571428571,13
92,-6277.5,200,17.133369565217393,9.303478260869566,13
93,-6220.5,200,17.142580645161292,9.311559139784947,13
94,-6276.5,200,17.14101063829787,9.360851063829788,13
95,-6169.5,200,17.151473684210526,9.357052631578947,13
96,-6568.5,200,17.162395833333335,9.386458333333334,13
97,-5932.5,200,17.158711340206185,9.395979381443299,13
98,-5718.0,200,17.159948979591835,9.374540816326531,13
99,-5880.5,200,17.15707070707071,9.389141414141415,13
100,-5731.0,200,17.15285,9.3927,13
